10 10
max 2 X1 + 4 X2 + 7 X3 + 3 X4 + 9 X5 + 6 X6 + 7 X7 + 4 X8 + 2 X9 + 2 X10
1 X1 - 0 X2 + 3 X3 + 2 X4 - 0 X5 + 2 X6 - 0 X7 - 0 X8 + 4 X9 + 4 X10 <= 20
3 X1 + 2 X2 + 3 X3 + 4 X4 + 1 X5 + 1 X6 + 4 X7 + 2 X8 + 4 X9 + 1 X10 <= 24
0 X1 - 0 X2 + 3 X3 + 1 X4 + 3 X5 + 2 X6 - 0 X7 + 3 X8 - 0 X9 + 4 X10 <= 23
0 X1 + 1 X2 - 0 X3 + 4 X4 + 3 X5 + 1 X6 + 3 X7 + 4 X8 + 1 X9 + 4 X10 <= 26
4 X1 - 0 X2 - 0 X3 + 2 X4 + 4 X5 + 2 X6 + 3 X7 + 3 X8 + 1 X9 + 3 X10 <= 28
1 X1 + 4 X2 + 4 X3 + 4 X4 + 1 X5 + 2 X6 + 1 X7 + 2 X8 + 2 X9 + 1 X10 <= 20
3 X1 + 2 X2 + 3 X3 + 4 X4 + 1 X5 + 2 X6 + 2 X7 + 2 X8 + 1 X9 + 3 X10 <= 22
1 X1 + 2 X2 + 1 X3 - 0 X4 - 0 X5 + 1 X6 + 1 X7 - 0 X8 + 2 X9 - 0 X10 <= 26
1 X1 + 4 X2 + 2 X3 - 0 X4 - 0 X5 + 2 X6 + 2 X7 + 3 X8 + 2 X9 - 0 X10 <= 20
1 X1 + 1 X2 + 3 X3 - 0 X4 + 3 X5 - 0 X6 + 1 X7 + 3 X8 + 2 X9 + 4 X10 <= 20
