100 200
max 1 X1 + 1 X2 + 2 X3 + 9 X4 + 1 X5 + 3 X6 + 3 X7 + 9 X8 + 1 X9 + 7 X10 + 6 X11 + 4 X12 + 2 X13 + 3 X14 + 7 X15 + 9 X16 + 5 X17 + 4 X18 + 4 X19 + 3 X20 + 6 X21 + 3 X22 + 7 X23 + 3 X24 + 1 X25 + 2 X26 + 5 X27 + 7 X28 + 2 X29 + 3 X30 + 5 X31 + 2 X32 + 4 X33 + 6 X34 + 9 X35 + 2 X36 + 9 X37 + 2 X38 + 1 X39 + 7 X40 + 6 X41 + 4 X42 + 1 X43 + 7 X44 + 6 X45 + 6 X46 + 5 X47 + 8 X48 + 7 X49 + 6 X50 + 1 X51 + 4 X52 + 6 X53 + 5 X54 + 4 X55 + 6 X56 + 6 X57 + 8 X58 + 3 X59 + 6 X60 + 8 X61 + 5 X62 + 5 X63 + 9 X64 + 2 X65 + 4 X66 + 1 X67 + 8 X68 + 3 X69 + 1 X70 + 3 X71 + 7 X72 + 2 X73 + 1 X74 + 2 X75 + 6 X76 + 6 X77 + 6 X78 + 4 X79 + 4 X80 + 1 X81 + 3 X82 + 5 X83 + 6 X84 + 7 X85 + 8 X86 + 3 X87 + 2 X88 + 4 X89 + 3 X90 + 5 X91 + 2 X92 + 8 X93 + 9 X94 + 2 X95 + 7 X96 + 2 X97 + 9 X98 + 3 X99 + 2 X100
1 X1 + 3 X2 - 0 X3 + 1 X4 + 1 X5 + 3 X6 + 1 X7 + 2 X8 - 0 X9 - 0 X10 + 4 X11 - 0 X12 - 0 X13 + 2 X14 + 1 X15 + 4 X16 - 0 X17 + 1 X18 + 3 X19 + 4 X20 + 2 X21 - 0 X22 - 0 X23 - 0 X24 + 2 X25 + 3 X26 + 3 X27 + 4 X28 + 1 X29 + 4 X30 + 3 X31 + 2 X32 + 4 X33 + 4 X34 + 3 X35 + 1 X36 + 4 X37 + 2 X38 + 3 X39 + 4 X40 + 2 X41 + 4 X42 + 2 X43 + 4 X44 + 3 X45 - 0 X46 - 0 X47 + 3 X48 + 1 X49 + 4 X50 + 4 X51 - 0 X52 + 1 X53 + 4 X54 + 1 X55 - 0 X56 + 3 X57 + 1 X58 + 4 X59 + 4 X60 + 3 X61 - 0 X62 + 3 X63 + 2 X64 + 4 X65 + 3 X66 - 0 X67 - 0 X68 - 0 X69 - 0 X70 + 4 X71 + 4 X72 + 1 X73 + 3 X74 + 3 X75 + 4 X76 + 3 X77 + 4 X78 + 4 X79 + 1 X80 - 0 X81 + 3 X82 + 2 X83 + 3 X84 - 0 X85 - 0 X86 + 4 X87 + 3 X88 + 1 X89 - 0 X90 + 4 X91 + 1 X92 - 0 X93 + 4 X94 + 1 X95 + 1 X96 + 2 X97 + 1 X98 + 1 X99 + 3 X100 <= 214
3 X1 + 2 X2 - 0 X3 + 1 X4 + 3 X5 - 0 X6 - 0 X7 + 4 X8 + 1 X9 + 1 X10 + 4 X11 - 0 X12 - 0 X13 + 4 X14 - 0 X15 - 0 X16 + 3 X17 - 0 X18 + 4 X19 + 4 X20 + 1 X21 + 2 X22 + 4 X23 - 0 X24 + 3 X25 + 3 X26 + 2 X27 + 2 X28 + 4 X29 + 2 X30 + 1 X31 + 4 X32 + 2 X33 + 1 X34 + 1 X35 - 0 X36 + 3 X37 + 3 X38 + 4 X39 - 0 X40 + 1 X41 - 0 X42 + 2 X43 + 4 X44 + 4 X45 + 4 X46 + 1 X47 - 0 X48 + 1 X49 - 0 X50 + 4 X51 + 2 X52 - 0 X53 - 0 X54 + 4 X55 + 3 X56 + 3 X57 + 3 X58 - 0 X59 - 0 X60 + 1 X61 + 1 X62 + 4 X63 - 0 X64 - 0 X65 + 2 X66 - 0 X67 - 0 X68 + 2 X69 + 1 X70 + 2 X71 + 1 X72 + 1 X73 + 4 X74 - 0 X75 - 0 X76 - 0 X77 + 1 X78 - 0 X79 + 1 X80 + 4 X81 + 1 X82 - 0 X83 + 4 X84 + 4 X85 + 4 X86 + 2 X87 + 4 X88 - 0 X89 - 0 X90 + 1 X91 + 3 X92 + 1 X93 + 3 X94 + 3 X95 + 3 X96 - 0 X97 + 3 X98 + 4 X99 + 3 X100 <= 126
3 X1 + 4 X2 + 2 X3 + 3 X4 + 1 X5 + 4 X6 - 0 X7 + 2 X8 + 2 X9 + 2 X10 + 3 X11 - 0 X12 + 4 X13 + 2 X14 + 4 X15 + 1 X16 + 2 X17 + 1 X18 + 1 X19 + 2 X20 + 2 X21 + 4 X22 + 3 X23 - 0 X24 + 2 X25 + 4 X26 + 3 X27 + 2 X28 - 0 X29 + 1 X30 + 3 X31 + 3 X32 + 2 X33 + 2 X34 + 1 X35 - 0 X36 + 3 X37 + 4 X38 + 2 X39 - 0 X40 + 3 X41 + 1 X42 + 1 X43 + 2 X44 - 0 X45 + 2 X46 + 3 X47 + 2 X48 + 3 X49 + 1 X50 + 4 X51 + 3 X52 + 2 X53 - 0 X54 + 3 X55 + 4 X56 + 4 X57 + 1 X58 + 3 X59 + 1 X60 + 4 X61 + 3 X62 + 4 X63 + 3 X64 + 2 X65 + 3 X66 + 3 X67 + 1 X68 + 2 X69 + 3 X70 + 3 X71 - 0 X72 + 1 X73 + 1 X74 + 4 X75 + 3 X76 + 4 X77 + 3 X78 + 1 X79 + 4 X80 + 1 X81 + 2 X82 + 2 X83 + 4 X84 + 4 X85 + 3 X86 - 0 X87 - 0 X88 + 1 X89 + 1 X90 + 1 X91 + 1 X92 + 4 X93 + 1 X94 + 1 X95 + 2 X96 + 4 X97 + 2 X98 - 0 X99 + 1 X100 <= 177
3 X1 + 3 X2 - 0 X3 - 0 X4 + 2 X5 + 3 X6 + 1 X7 + 2 X8 + 1 X9 + 2 X10 + 4 X11 + 4 X12 + 2 X13 - 0 X14 + 3 X15 - 0 X16 - 0 X17 + 4 X18 + 1 X19 + 1 X20 + 2 X21 + 4 X22 + 3 X23 + 3 X24 + 3 X25 + 2 X26 + 2 X27 - 0 X28 + 2 X29 - 0 X30 + 2 X31 + 2 X32 + 3 X33 + 4 X34 + 4 X35 + 3 X36 + 2 X37 - 0 X38 - 0 X39 + 4 X40 - 0 X41 + 1 X42 - 0 X43 + 2 X44 + 1 X45 - 0 X46 + 2 X47 + 4 X48 + 1 X49 - 0 X50 - 0 X51 + 4 X52 - 0 X53 + 3 X54 + 2 X55 - 0 X56 + 2 X57 + 2 X58 - 0 X59 + 4 X60 + 4 X61 + 4 X62 + 4 X63 + 3 X64 + 3 X65 + 3 X66 + 1 X67 + 2 X68 + 1 X69 + 3 X70 + 3 X71 + 1 X72 + 2 X73 + 3 X74 + 3 X75 + 3 X76 + 1 X77 + 2 X78 + 2 X79 + 2 X80 + 4 X81 - 0 X82 + 3 X83 + 1 X84 - 0 X85 + 3 X86 + 1 X87 + 3 X88 - 0 X89 + 1 X90 + 4 X91 + 4 X92 + 2 X93 + 3 X94 + 4 X95 - 0 X96 + 2 X97 + 2 X98 - 0 X99 - 0 X100 <= 203
3 X1 + 3 X2 - 0 X3 + 4 X4 + 1 X5 - 0 X6 - 0 X7 - 0 X8 + 3 X9 + 4 X10 + 4 X11 - 0 X12 + 3 X13 + 1 X14 - 0 X15 + 3 X16 + 2 X17 - 0 X18 - 0 X19 + 1 X20 - 0 X21 + 1 X22 - 0 X23 + 3 X24 + 1 X25 + 3 X26 + 2 X27 - 0 X28 + 3 X29 + 2 X30 - 0 X31 + 1 X32 - 0 X33 - 0 X34 - 0 X35 + 3 X36 + 1 X37 + 2 X38 - 0 X39 + 1 X40 + 2 X41 + 2 X42 + 1 X43 + 2 X44 - 0 X45 + 3 X46 - 0 X47 + 4 X48 + 4 X49 + 2 X50 - 0 X51 + 4 X52 + 3 X53 + 1 X54 + 4 X55 + 1 X56 + 1 X57 + 2 X58 + 2 X59 + 4 X60 + 1 X61 + 2 X62 - 0 X63 + 4 X64 - 0 X65 + 3 X66 + 4 X67 + 1 X68 + 2 X69 + 2 X70 + 4 X71 + 1 X72 + 4 X73 + 2 X74 - 0 X75 + 4 X76 - 0 X77 + 2 X78 + 3 X79 + 4 X80 + 4 X81 + 1 X82 - 0 X83 + 3 X84 + 4 X85 - 0 X86 + 4 X87 - 0 X88 + 4 X89 + 3 X90 + 4 X91 - 0 X92 + 3 X93 + 1 X94 + 1 X95 + 3 X96 + 1 X97 + 3 X98 + 1 X99 + 1 X100 <= 105
0 X1 + 2 X2 + 4 X3 + 2 X4 + 3 X5 - 0 X6 + 4 X7 - 0 X8 - 0 X9 + 1 X10 - 0 X11 + 1 X12 + 1 X13 - 0 X14 + 2 X15 + 3 X16 + 4 X17 + 4 X18 + 2 X19 - 0 X20 - 0 X21 - 0 X22 + 3 X23 + 2 X24 + 3 X25 + 3 X26 - 0 X27 + 1 X28 + 4 X29 + 1 X30 + 3 X31 + 1 X32 + 4 X33 + 2 X34 - 0 X35 + 4 X36 + 4 X37 + 1 X38 + 4 X39 - 0 X40 + 2 X41 + 1 X42 + 3 X43 + 1 X44 + 1 X45 + 3 X46 + 4 X47 + 3 X48 + 2 X49 + 4 X50 + 3 X51 + 3 X52 + 1 X53 + 3 X54 + 2 X55 + 1 X56 + 1 X57 + 2 X58 - 0 X59 + 2 X60 + 1 X61 + 3 X62 - 0 X63 + 2 X64 + 3 X65 + 2 X66 + 1 X67 + 2 X68 + 3 X69 + 2 X70 + 4 X71 + 1 X72 + 4 X73 + 3 X74 + 4 X75 + 2 X76 + 1 X77 - 0 X78 - 0 X79 - 0 X80 + 1 X81 - 0 X82 + 3 X83 + 2 X84 + 3 X85 - 0 X86 + 1 X87 + 1 X88 - 0 X89 + 1 X90 + 3 X91 + 1 X92 + 4 X93 - 0 X94 + 3 X95 + 2 X96 + 2 X97 + 1 X98 + 2 X99 + 1 X100 <= 130
1 X1 + 4 X2 + 4 X3 + 1 X4 + 3 X5 + 4 X6 + 4 X7 + 3 X8 + 1 X9 - 0 X10 - 0 X11 + 2 X12 + 3 X13 + 4 X14 + 2 X15 + 4 X16 - 0 X17 + 4 X18 + 4 X19 + 3 X20 + 4 X21 + 2 X22 - 0 X23 - 0 X24 - 0 X25 + 4 X26 + 2 X27 + 3 X28 + 1 X29 - 0 X30 + 3 X31 - 0 X32 + 4 X33 - 0 X34 + 1 X35 + 4 X36 + 4 X37 + 1 X38 - 0 X39 - 0 X40 + 1 X41 - 0 X42 + 4 X43 + 4 X44 + 1 X45 + 2 X46 - 0 X47 + 4 X48 + 1 X49 + 4 X50 + 4 X51 - 0 X52 + 1 X53 + 4 X54 + 2 X55 + 3 X56 + 4 X57 - 0 X58 + 3 X59 + 2 X60 + 2 X61 + 2 X62 + 2 X63 + 4 X64 + 2 X65 + 4 X66 + 3 X67 + 3 X68 - 0 X69 + 3 X70 - 0 X71 + 1 X72 - 0 X73 - 0 X74 + 2 X75 + 4 X76 + 4 X77 + 3 X78 + 3 X79 - 0 X80 + 4 X81 + 2 X82 + 2 X83 + 3 X84 + 4 X85 - 0 X86 + 1 X87 + 3 X88 + 2 X89 - 0 X90 - 0 X91 + 4 X92 + 4 X93 + 3 X94 - 0 X95 + 3 X96 + 4 X97 + 4 X98 + 1 X99 + 1 X100 <= 189
3 X1 + 2 X2 + 2 X3 - 0 X4 + 1 X5 + 1 X6 + 4 X7 + 4 X8 + 1 X9 + 1 X10 + 1 X11 - 0 X12 + 4 X13 + 4 X14 + 4 X15 + 1 X16 + 2 X17 + 2 X18 + 3 X19 + 2 X20 - 0 X21 + 4 X22 + 3 X23 - 0 X24 - 0 X25 + 1 X26 + 4 X27 + 1 X28 + 2 X29 - 0 X30 + 2 X31 + 3 X32 + 4 X33 + 4 X34 + 3 X35 + 2 X36 + 2 X37 + 3 X38 + 4 X39 + 3 X40 + 4 X41 - 0 X42 + 1 X43 - 0 X44 + 4 X45 - 0 X46 + 1 X47 + 1 X48 - 0 X49 + 1 X50 + 1 X51 - 0 X52 + 1 X53 + 4 X54 + 2 X55 + 1 X56 + 1 X57 + 3 X58 + 4 X59 - 0 X60 + 3 X61 + 1 X62 - 0 X63 + 4 X64 + 1 X65 + 4 X66 + 3 X67 - 0 X68 + 4 X69 + 2 X70 + 1 X71 - 0 X72 + 2 X73 + 2 X74 + 1 X75 + 3 X76 + 2 X77 + 2 X78 - 0 X79 + 2 X80 + 1 X81 + 3 X82 + 4 X83 + 2 X84 + 2 X85 + 1 X86 - 0 X87 - 0 X88 + 4 X89 + 4 X90 + 3 X91 + 4 X92 - 0 X93 + 3 X94 - 0 X95 + 3 X96 + 2 X97 + 4 X98 + 4 X99 + 1 X100 <= 156
0 X1 + 4 X2 + 1 X3 + 4 X4 - 0 X5 + 4 X6 + 1 X7 + 4 X8 + 1 X9 + 1 X10 - 0 X11 + 4 X12 - 0 X13 + 4 X14 + 2 X15 + 4 X16 + 4 X17 + 4 X18 - 0 X19 + 3 X20 + 2 X21 - 0 X22 + 1 X23 + 1 X24 + 2 X25 + 4 X26 - 0 X27 + 1 X28 - 0 X29 + 4 X30 + 3 X31 + 2 X32 + 3 X33 + 1 X34 + 1 X35 - 0 X36 - 0 X37 - 0 X38 + 4 X39 + 2 X40 + 3 X41 + 2 X42 + 1 X43 + 3 X44 + 1 X45 - 0 X46 + 4 X47 + 1 X48 - 0 X49 - 0 X50 + 1 X51 + 4 X52 + 2 X53 + 4 X54 + 2 X55 + 4 X56 + 1 X57 - 0 X58 + 1 X59 + 1 X60 + 4 X61 + 1 X62 + 1 X63 + 4 X64 + 2 X65 + 2 X66 + 4 X67 + 2 X68 + 4 X69 - 0 X70 + 1 X71 + 2 X72 + 2 X73 + 3 X74 + 3 X75 + 1 X76 - 0 X77 + 2 X78 + 4 X79 + 2 X80 + 4 X81 + 2 X82 + 2 X83 + 1 X84 + 2 X85 + 1 X86 + 3 X87 + 3 X88 + 1 X89 + 4 X90 + 1 X91 + 2 X92 + 2 X93 + 2 X94 + 1 X95 + 1 X96 + 2 X97 + 2 X98 - 0 X99 + 1 X100 <= 115
2 X1 + 1 X2 + 4 X3 + 2 X4 + 4 X5 - 0 X6 + 2 X7 + 3 X8 + 4 X9 - 0 X10 + 3 X11 + 2 X12 + 4 X13 + 1 X14 + 1 X15 - 0 X16 + 4 X17 + 1 X18 + 2 X19 - 0 X20 + 2 X21 + 4 X22 + 2 X23 + 2 X24 + 3 X25 - 0 X26 + 1 X27 + 2 X28 + 1 X29 + 4 X30 + 2 X31 - 0 X32 - 0 X33 + 2 X34 + 2 X35 + 4 X36 + 4 X37 + 4 X38 + 3 X39 + 1 X40 + 1 X41 + 3 X42 - 0 X43 - 0 X44 + 4 X45 + 1 X46 + 1 X47 + 4 X48 + 2 X49 - 0 X50 + 4 X51 + 1 X52 + 1 X53 + 4 X54 - 0 X55 + 4 X56 + 1 X57 + 1 X58 + 4 X59 + 2 X60 + 3 X61 + 3 X62 + 2 X63 + 3 X64 - 0 X65 + 1 X66 - 0 X67 + 2 X68 + 1 X69 - 0 X70 + 3 X71 + 4 X72 + 3 X73 - 0 X74 + 2 X75 + 2 X76 + 1 X77 - 0 X78 + 3 X79 - 0 X80 - 0 X81 - 0 X82 + 3 X83 + 1 X84 + 1 X85 + 1 X86 + 3 X87 + 2 X88 + 4 X89 + 4 X90 - 0 X91 + 2 X92 + 2 X93 + 4 X94 + 3 X95 - 0 X96 + 1 X97 + 3 X98 + 2 X99 + 4 X100 <= 298
