8 14
min 6 X1 + 9 X2 + 7 X3 + 7 X4 + 6 X5 + 7 X6 + 8 X7 + 9 X8
5 X1 + 5 X2 + 9 X3 + 8 X4 - 0 X5 + 2 X6 + 8 X7 - 0 X8 >= 181
2 X1 + 2 X2 + 1 X3 + 8 X4 + 6 X5 + 4 X6 + 4 X7 + 1 X8 >= 145
8 X1 + 9 X2 + 6 X3 + 2 X4 + 8 X5 + 5 X6 + 3 X7 + 1 X8 >= 248
3 X1 + 1 X2 + 6 X3 + 8 X4 + 8 X5 + 1 X6 + 9 X7 + 6 X8 >= 212
3 X1 + 4 X2 + 4 X3 + 6 X4 + 9 X5 + 6 X6 + 7 X7 + 9 X8 >= 225
3 X1 + 3 X2 + 8 X3 + 9 X4 + 2 X5 + 7 X6 + 7 X7 + 6 X8 >= 177
4 X1 + 9 X2 + 9 X3 + 4 X4 + 4 X5 + 2 X6 + 1 X7 + 2 X8 >= 100
4 X1 + 1 X2 + 9 X3 + 8 X4 + 7 X5 + 5 X6 + 3 X7 + 3 X8 >= 214
1 X1 + 3 X2 + 3 X3 + 8 X4 + 6 X5 + 9 X6 + 6 X7 + 7 X8 >= 131
3 X1 + 7 X2 + 9 X3 + 1 X4 + 3 X5 - 0 X6 + 2 X7 + 8 X8 >= 264
6 X1 + 1 X2 + 6 X3 + 8 X4 + 5 X5 + 9 X6 + 7 X7 + 4 X8 >= 116
3 X1 + 9 X2 + 2 X3 + 9 X4 + 2 X5 + 5 X6 + 5 X7 + 1 X8 >= 223
4 X1 + 7 X2 + 3 X3 + 7 X4 + 3 X5 - 0 X6 + 6 X7 + 6 X8 >= 185
6 X1 + 8 X2 + 5 X3 - 0 X4 + 6 X5 + 6 X6 + 8 X7 + 4 X8 >= 254
